face_id,social_img,sensory_img,gender,race,trust_level,target_brightness,corr_sensory_key
lam1,lam1.jpg,lam1b.jpg,M,Asian,low,bright,k
lam1,lam1.jpg,lam1d.jpg,M,Asian,low,dark,d
lam2,lam2.jpg,lam2b.jpg,M,Asian,low,bright,k
lam2,lam2.jpg,lam2d.jpg,M,Asian,low,dark,d
lam3,lam3.jpg,lam3b.jpg,M,Asian,low,bright,k
lam3,lam3.jpg,lam3d.jpg,M,Asian,low,dark,d
lam4,lam4.jpg,lam4b.jpg,M,Asian,low,bright,k
lam4,lam4.jpg,lam4d.jpg,M,Asian,low,dark,d
lam5,lam5.jpg,lam5b.jpg,M,Asian,low,bright,k
lam5,lam5.jpg,lam5d.jpg,M,Asian,low,dark,d
lbf1,lbf1.jpg,lbf1b.jpg,F,Black,low,bright,k
lbf1,lbf1.jpg,lbf1d.jpg,F,Black,low,dark,d
lbf2,lbf2.jpg,lbf2b.jpg,F,Black,low,bright,k
lbf2,lbf2.jpg,lbf2d.jpg,F,Black,low,dark,d
lbf3,lbf3.jpg,lbf3b.jpg,F,Black,low,bright,k
lbf3,lbf3.jpg,lbf3d.jpg,F,Black,low,dark,d
lbf4,lbf4.jpg,lbf4b.jpg,F,Black,low,bright,k
lbf4,lbf4.jpg,lbf4d.jpg,F,Black,low,dark,d
lbf5,lbf5.jpg,lbf5b.jpg,F,Black,low,bright,k
lbf5,lbf5.jpg,lbf5d.jpg,F,Black,low,dark,d
lbm1,lbm1.jpg,lbm1b.jpg,M,Black,low,bright,k
lbm1,lbm1.jpg,lbm1d.jpg,M,Black,low,dark,d
lbm2,lbm2.jpg,lbm2b.jpg,M,Black,low,bright,k
lbm2,lbm2.jpg,lbm2d.jpg,M,Black,low,dark,d
lbm3,lbm3.jpg,lbm3b.jpg,M,Black,low,bright,k
lbm3,lbm3.jpg,lbm3d.jpg,M,Black,low,dark,d
lbm4,lbm4.jpg,lbm4b.jpg,M,Black,low,bright,k
lbm4,lbm4.jpg,lbm4d.jpg,M,Black,low,dark,d
lbm5,lbm5.jpg,lbm5b.jpg,M,Black,low,bright,k
lbm5,lbm5.jpg,lbm5d.jpg,M,Black,low,dark,d
llf1,llf1.jpg,llf1b.jpg,F,Latino,low,bright,k
llf1,llf1.jpg,llf1d.jpg,F,Latino,low,dark,d
llf2,llf2.jpg,llf2b.jpg,F,Latino,low,bright,k
llf2,llf2.jpg,llf2d.jpg,F,Latino,low,dark,d
llf3,llf3.jpg,llf3b.jpg,F,Latino,low,bright,k
llf3,llf3.jpg,llf3d.jpg,F,Latino,low,dark,d
llf4,llf4.jpg,llf4b.jpg,F,Latino,low,bright,k
llf4,llf4.jpg,llf4d.jpg,F,Latino,low,dark,d
llf5,llf5.jpg,llf5b.jpg,F,Latino,low,bright,k
llf5,llf5.jpg,llf5d.jpg,F,Latino,low,dark,d
llm1,llm1.jpg,llm1b.jpg,M,Latino,low,bright,k
llm1,llm1.jpg,llm1d.jpg,M,Latino,low,dark,d
llm2,llm2.jpg,llm2b.jpg,M,Latino,low,bright,k
llm2,llm2.jpg,llm2d.jpg,M,Latino,low,dark,d
llm3,llm3.jpg,llm3b.jpg,M,Latino,low,bright,k
llm3,llm3.jpg,llm3d.jpg,M,Latino,low,dark,d
llm4,llm4.jpg,llm4b.jpg,M,Latino,low,bright,k
llm4,llm4.jpg,llm4d.jpg,M,Latino,low,dark,d
llm5,llm5.jpg,llm5b.jpg,M,Latino,low,bright,k
llm5,llm5.jpg,llm5d.jpg,M,Latino,low,dark,d
lwf1,lwf1.jpg,lwf1b.jpg,F,White,low,bright,k
lwf1,lwf1.jpg,lwf1d.jpg,F,White,low,dark,d
lwf2,lwf2.jpg,lwf2b.jpg,F,White,low,bright,k
lwf2,lwf2.jpg,lwf2d.jpg,F,White,low,dark,d
lwf3,lwf3.jpg,lwf3b.jpg,F,White,low,bright,k
lwf3,lwf3.jpg,lwf3d.jpg,F,White,low,dark,d
lwf4,lwf4.jpg,lwf4b.jpg,F,White,low,bright,k
lwf4,lwf4.jpg,lwf4d.jpg,F,White,low,dark,d
lwf5,lwf5.jpg,lwf5b.jpg,F,White,low,bright,k
lwf5,lwf5.jpg,lwf5d.jpg,F,White,low,dark,d
lwm1,lwm1.jpg,lwm1b.jpg,M,White,low,bright,k
lwm1,lwm1.jpg,lwm1d.jpg,M,White,low,dark,d
lwm2,lwm2.jpg,lwm2b.jpg,M,White,low,bright,k
lwm2,lwm2.jpg,lwm2d.jpg,M,White,low,dark,d
lwm3,lwm3.jpg,lwm3b.jpg,M,White,low,bright,k
lwm3,lwm3.jpg,lwm3d.jpg,M,White,low,dark,d
lwm4,lwm4.jpg,lwm4b.jpg,M,White,low,bright,k
lwm4,lwm4.jpg,lwm4d.jpg,M,White,low,dark,d
lwm5,lwm5.jpg,lwm5b.jpg,M,White,low,bright,k
lwm5,lwm5.jpg,lwm5d.jpg,M,White,low,dark,d
